scientific_name,bin_start,larvae_mean,n_tows,year,month_sin,month_cos,latitude,longitude,log_volume_sampled,standard_haul_factor,log_matched_eggs,frac_past_flexion,mean_larva_size_mm,bot_sst_100m,bot_sal_100m,bot_sigma_100m,bot_o2_100m,bot_chla_100m,bot_po4_100m,bot_no3_100m,bot_sio3_100m,bot_mld_05,bot_strat_dT,bot_chla_max,bot_chla_int,bot_o2_min_200,bot_nitracline,cast_wind_spd,cast_wind_dir,cast_barom,cast_dry_t,cast_wet_t,cast_secchi,tow_type_code,y,species_id
Agonidae,1951,3.8566666666666665,51,1953,0.27905981975625255,-0.4063221934183423,33.088627,-118.84092,5.89627570966189,2.4962745098039214,0.0,,,11.70156881606955,33.52036030980186,25.46194364310526,4.802077786796537,,0.8362987012987013,,,22.555555555555554,3.667894736842105,,,2.626875,,8.555555555555555,21.45,,,,,0.0,1.5803523315390038,7
Agonidae,1956,4.067105263157895,38,1958,0.5436908957327471,-0.31390008500725025,31.949472,-117.69128,5.717456763119479,2.6310526315789473,0.0,,,13.535939469621287,33.71350182393364,25.214150352677624,4.594159386068477,,0.7046153846153846,,,26.272727272727273,5.19885,,,1.7536363636363637,,11.363636363636363,26.0,,,,,0.0,1.6227697005345323,7
Agonidae,1961,3.1154545454545453,11,1963,0.654195674791512,-0.27272727272727265,32.265152,-118.05969,5.82533593913468,2.8145454545454545,0.0,,,12.454126984126985,33.78643223443223,25.516857753357755,4.587347374847375,,1.344047619047619,,27.650000000000002,28.333333333333332,4.128222222222222,,,1.3399999999999999,,12.0,33.0,1014.9,12.3,11.149999999999999,,0.0,1.4147492886494966,7
Ahliesaurus brevis,2001,5.924545454545455,11,2003,-0.5998251101230291,0.6752912027523188,22.492727,-163.04425,6.047983812509765,4.997272727272727,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,1.0,1.9350724115863263,9
Albatrossia pectoralis,1971,6.723999999999999,5,1973,0.44641016151377544,0.37320508075688774,34.204334,-124.08667,6.488955237011766,3.8519999999999994,0.0,,,12.191488095238094,33.493095238095236,25.366815476190478,,,,,,36.666666666666664,3.195,,,,,7.333333333333333,29.333333333333332,1020.8000000000001,13.933333333333332,13.133333333333333,,0.0,2.044332364566268,10
Albula,1956,5.4314285714285715,7,1958,-0.9043038598460276,0.35714285714285715,25.56,-112.534996,5.693511795700428,2.8528571428571428,0.0,,,22.303224664224665,34.333442124542124,23.56430927960928,4.484742063492064,,,,,31.4,9.074583333333337,,,3.65,,11.4,32.4,,,,,0.0,1.861196686423273,11
Alepisaurus ferox,2001,5.695,8,2003,-0.7912658773652742,0.2790063509461095,24.69354,-160.37042,6.048051635893375,5.0175,0.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,1.0,1.9013609791431358,13
Alloclinus holderi,1961,7.6425,8,1963,0.649519052838329,0.1584936490538904,28.120209,-115.15458,5.576239869607156,2.2725,0.0,,,14.319230769230769,33.83315384615385,25.200846153846154,4.322307692307692,,,,,30.0,5.056666666666668,,,0.67,,13.0,35.0,,,,,0.0,2.1566918928136425,15
Alloclinus holderi,1966,4.243333333333333,6,1968,-0.0833333333333333,-0.022329099369260304,28.328611,-115.1275,5.034565429550704,2.23,0.0,,,13.628,33.854,25.3752,,,,,,20.0,,,,,,10.0,31.0,1016.6,16.2,12.2,,0.0,1.6569574284020767,15
Alloclinus holderi,1971,5.098333333333334,6,1973,0.16666666666666657,0.21132486540518705,29.268888,-115.39834,4.975102853417151,2.33,0.0,,,13.55,33.655,25.21725,,,,,,15.0,,,,,,5.5,20.0,1018.1,14.7,13.5,,0.0,1.8080155098030606,15
Anchoa,1996,180.1914157557143,7,1998,-0.5714285714285718,0.7423074889580901,7.833095,-82.166435,6.137216182750213,4.078571428571428,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,5.1995540180700885,20
Anguilliformes,1951,4.239,110,1953,0.13936479108111077,0.27353142971018085,26.006317,-113.95839,6.136924070403065,2.4926363636363638,0.0,,,17.796473188979633,34.031019027853155,24.417822763315115,4.545940598290598,,1.1032111420325705,,,41.79775280898876,5.896566425120772,,,1.7187692307692308,,9.314606741573034,26.853932584269664,,,,,0.0,1.6561306404260827,21
Anguilliformes,1956,5.285288461538461,104,1958,-0.1963325412215585,0.12525268693873867,25.250834,-113.29597,6.008394843148233,2.8300961538461538,0.0,,,20.646498901767874,34.35039415294527,24.02408792853971,4.33005145440072,,0.7451794871794872,2.2416666666666667,2.376923076923077,39.642857142857146,6.858679347826086,,,1.3498039215686275,20.0,9.263392857142858,26.736607142857142,,,,,0.0,1.8382117378129235,21
Anguilliformes,1961,7.577250000000001,40,1963,-0.6430607966083863,0.2191987298107781,27.209042,-114.74996,5.886820966202578,2.24525,0.0,,,17.82485133913705,33.986143097378815,24.46259466723752,5.011447267018696,,0.4079166666666667,,3.242777777777778,37.5,5.919194444444446,,,2.3228571428571425,,12.142857142857142,21.428571428571427,1019.7333333333332,17.3,14.333333333333334,,0.0,2.1491133493041463,21
Anguilliformes,1966,6.893809523809523,21,1968,-0.3362941822138606,0.6649572197684646,27.490475,-115.118095,6.013828840536033,2.781904761904762,0.0,,,17.359167410714285,33.9590420770202,24.534696392496393,4.674701607915893,,0.5705357142857143,3.757738095238095,4.963095238095238,35.4375,5.748197916666666,,,1.8228571428571427,50.0,10.125,24.625,1018.2625,18.8125,16.3875,,0.0,2.0660788477133516,21
Anguilliformes,1971,4.248461538461539,13,1973,0.3049308934721349,0.5281558002911108,27.09718,-114.54717,6.2978334954553,3.0715384615384616,0.0,,,17.194557387057387,34.374672023809524,24.930692628205126,4.3456552706552705,,0.9518518518518518,6.720370370370371,4.944444444444445,36.166666666666664,4.500972222222223,,,0.3066666666666667,54.333333333333336,6.5,21.833333333333332,1017.0,20.516666666666666,17.533333333333335,20.666666666666668,0.0,1.6579349933657956,21
Anguilliformes,1996,10.705947201666667,6,1998,-0.7663460352255527,0.37200846792814607,6.877777,-91.20389,5.972684939431924,4.3133333333333335,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.4600970204938024,21
Anguilliformes,2001,6.998666666666667,15,2003,-0.7529485756039966,0.45534180126147944,19.886223,-148.55345,6.065697883121824,4.896,0.0,0.0,,14.606428571428571,33.21807142857143,24.643714285714285,5.2457142857142856,0.335,0.6907142857142857,5.664285714285714,4.942857142857143,30.0,7.309999999999999,1.08,34.69,2.89,45.0,8.0,35.0,1020.0,18.3,14.7,,1.0,2.079274861122737,21
Anisotremus davidsonii,1956,4.205,8,1958,-0.8370190528383288,-0.48325317547305524,28.387083,-114.995415,5.852851028671853,2.65125,0.0,,,16.38870714285714,33.85819214285714,24.69167619047619,4.3313500000000005,,,,,14.8,5.405249999999999,,,2.32,,7.8,29.2,,,,,0.0,1.6496197020669323,23
Anisotremus davidsonii,1961,19.434545454545454,22,1963,-0.7057399746194918,-0.6436479108111087,26.772802,-113.336296,5.386898373032514,1.4463636363636363,0.0,,,15.569702380952382,33.98121428571429,24.98520238095238,3.9961904761904763,,1.1765079365079365,,12.6515873015873,12.25,9.658333333333335,,,1.3975,,5.0,22.333333333333332,1012.9,20.799999999999997,19.1,,0.0,3.0172268732917504,23
Anisotremus davidsonii,1966,11.580714285714285,14,1968,-0.7971610027031703,-0.5427197293823801,27.765594,-114.25118,5.669936513142154,2.858571428571429,0.0,,,13.92306818181818,33.92635,25.365863636363635,3.2644545454545453,,,,,15.0,5.627499999999998,,,1.025,,8.0,32.5,1012.7,20.05,18.2,,0.0,2.5321650291289455,23
Anisotremus davidsonii,1971,11.58875,8,1973,-0.4665063509461095,-0.5245190528383291,27.94729,-114.10812,5.185668889542424,2.6025,0.0,,,14.516904761904764,34.015723809523806,25.271265714285715,,,,,,12.0,,,,,,5.2,33.2,1012.46,19.7,18.56,,0.0,2.532803557980217,23
Anisotremus davidsonii,1976,8.439114344,5,1978,-0.719615242270663,-0.6464101615137758,27.575,-114.324,4.813127767136605,5.322,0.0,,,17.107666666666663,33.720499999999994,24.46156666666667,4.750333333333333,0.891,0.6226666666666666,5.036666666666667,8.626666666666667,16.666666666666668,,2.1366666666666667,42.69,3.1566666666666663,25.0,9.0,19.333333333333332,1013.8333333333334,20.066666666666666,18.566666666666666,12.0,1.0,2.2448621562645603,23
